 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
1755,698.95,702.48,712.13,680.06,680.65,702.37,717.69,697.79,757.52,800.41,778.64,812.02,689.46,675.86,668.66,682.62,699.40,686.11,694.12,686.29,681.06,683.43,698.95
1756,699.27,702.80,711.22,680.45,678.61,701.84,718.59,697.33,754.68,795.25,777.99,807.74,690.32,676.66,668.34,682.01,699.21,687.22,695.62,684.34,681.41,683.03,699.27
1757,699.09,705.02,711.59,680.44,675.27,700.96,719.09,697.32,750.85,791.49,776.59,802.13,691.94,677.77,667.13,682.96,699.42,688.03,695.23,685.20,682.19,682.87,699.09
1758,699.49,705.41,711.68,679.58,674.36,700.28,717.93,696.82,748.97,789.99,774.07,798.66,695.07,677.67,666.30,682.31,700.06,687.01,694.20,687.03,682.65,683.41,699.49
1759,700.77,705.24,711.28,678.36,675.44,699.50,716.79,695.85,749.10,788.89,771.69,795.77,698.47,677.70,667.66,681.55,699.74,684.67,694.80,687.49,682.03,683.75,700.77
1760,702.24,705.85,710.71,677.75,674.30,698.33,717.24,696.09,748.91,786.48,769.23,792.02,700.62,679.23,669.84,683.52,698.02,683.74,695.62,686.13,680.96,683.53,702.24
1761,701.43,707.06,710.75,676.25,671.77,699.01,719.05,695.71,747.51,783.72,766.51,788.88,701.40,680.80,671.34,686.02,697.65,684.56,695.22,684.19,681.47,683.57,701.43
1762,698.23,709.11,711.00,673.82,669.86,702.23,720.43,693.96,744.41,780.80,764.93,787.54,701.96,680.72,671.32,686.81,698.63,685.21,695.88,682.27,683.22,684.45,698.23
1763,696.26,710.34,708.83,672.55,669.67,704.01,720.19,692.89,740.66,776.94,763.59,786.59,703.39,679.49,671.04,685.97,698.89,684.41,696.42,681.92,684.68,684.69,696.26
1764,696.29,708.82,705.99,672.82,671.08,703.96,719.31,692.67,737.70,773.60,760.95,783.22,703.90,678.49,671.77,685.69,699.04,682.11,695.23,682.10,684.83,684.14,696.29
1765,696.45,706.67,705.06,674.76,671.51,703.47,718.55,692.19,734.85,771.18,759.27,778.28,704.31,679.31,671.42,686.38,698.74,679.66,694.71,681.09,683.69,683.62,696.45
1766,695.55,706.32,704.67,676.32,671.36,703.24,717.75,691.04,732.26,768.26,757.39,775.23,704.96,681.37,669.96,686.74,697.39,679.15,694.47,680.00,682.78,682.81,695.55
1767,694.30,706.65,704.23,676.37,672.10,703.38,716.63,690.26,731.04,764.41,754.37,772.98,704.71,682.55,669.39,686.88,697.60,679.72,693.29,680.31,683.45,682.00,694.30
1768,693.88,705.66,705.07,675.16,673.13,703.99,714.83,690.61,730.97,760.75,753.10,770.85,704.43,683.51,670.12,686.95,698.11,679.77,692.03,680.22,684.84,682.23,693.88
1769,693.57,704.39,705.82,673.90,673.76,704.16,712.78,691.12,729.32,758.90,752.38,770.03,704.21,683.87,671.89,686.41,696.84,679.04,691.37,679.11,685.13,683.19,693.57
1770,693.01,703.07,704.78,673.30,672.29,703.65,712.10,691.31,725.97,758.14,749.85,768.76,704.37,682.34,673.20,686.60,695.05,678.22,692.52,678.44,683.94,684.04,693.01
