 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7
145,433.754,435.255,434.601,442.185,441.807,437.591,439.627
146,433.971,435.014,434.614,441.977,441.852,437.499,439.464
147,434.545,435.022,434.695,442.068,441.834,437.560,439.279
148,435.006,435.063,434.826,442.191,441.756,437.715,439.052
149,435.107,434.965,435.011,442.082,441.546,437.733,438.789
150,434.943,434.678,435.151,441.956,441.220,437.481,438.760
151,434.805,434.438,435.258,442.088,440.819,437.081,439.103
152,434.782,434.435,435.293,442.523,440.442,436.808,439.393
153,434.914,434.593,435.176,442.964,440.159,436.777,439.308
154,434.965,434.619,434.994,443.237,440.144,436.944,439.036
155,434.896,434.520,434.855,443.363,440.379,436.962,438.897
156,434.809,434.457,434.744,443.403,440.782,436.781,439.011
157,434.897,434.605,434.627,443.206,441.128,436.598,439.313
158,435.023,434.888,434.388,442.778,441.152,436.772,439.669
159,434.979,435.071,433.955,442.279,440.813,437.215,439.909
160,434.662,435.068,433.572,441.945,440.397,437.532,439.966
161,434.363,434.839,433.430,441.882,440.329,437.499,439.919
162,434.271,434.572,433.396,442.033,440.400,437.375,439.632
163,434.371,434.377,433.376,442.315,440.444,437.720,439.200
164,434.615,434.263,433.492,442.546,440.400,438.363,438.882
165,434.869,434.341,433.698,442.516,440.391,438.797,438.753
166,435.109,434.773,433.801,442.251,440.628,438.723,438.780
167,435.298,435.287,433.901,441.992,441.146,438.494,438.939
168,435.462,435.411,434.084,442.016,441.698,438.511,439.223
169,435.478,434.950,434.362,442.169,441.951,438.692,439.543
170,435.273,434.249,434.672,442.232,441.882,438.793,439.792
171,435.042,433.787,434.953,442.165,441.795,438.799,439.906
172,434.980,433.827,435.039,442.050,441.814,438.962,440.006
173,434.995,434.252,434.827,441.911,441.907,439.165,440.074
174,434.963,434.721,434.525,441.874,441.991,439.167,439.985
175,434.833,434.884,434.274,442.026,441.991,438.865,439.675
176,434.655,434.806,434.058,442.337,441.810,438.506,439.160
177,434.480,434.762,433.882,442.624,441.597,438.430,438.541
178,434.410,434.829,433.825,442.711,441.354,438.661,437.957
179,434.715,434.856,433.963,442.729,441.185,438.889,437.689
180,435.246,434.797,434.130,442.776,441.056,438.849,437.928
181,435.588,434.711,434.184,442.868,441.083,438.606,438.517
182,435.547,434.671,434.173,442.905,441.252,438.203,439.151
183,435.381,434.601,434.298,442.939,441.426,437.835,439.536
184,435.248,434.413,434.531,442.820,441.465,437.515,439.718
185,435.032,434.205,434.770,442.568,441.297,437.314,439.761
186,434.829,434.154,434.860,442.310,441.144,437.211,439.690
187,434.566,434.349,434.736,442.101,441.171,437.181,439.384
188,434.164,434.629,434.572,441.971,441.345,437.078,438.980
189,433.812,434.832,434.513,441.853,441.523,437.009,438.675
190,433.779,434.871,434.465,441.663,441.631,437.052,438.546
191,434.008,434.689,434.303,441.395,441.641,437.160,438.528
192,434.271,434.401,434.115,441.234,441.467,437.204,438.530
193,434.440,434.164,434.064,441.220,441.075,437.168,438.440
194,434.372,434.148,434.009,441.192,440.748,436.939,438.276
195,434.110,434.319,433.931,440.997,440.609,436.619,438.106
196,433.772,434.582,433.906,440.587,440.603,436.544,438.105
197,433.640,434.740,433.969,440.093,440.473,436.972,438.219
198,433.856,434.909,433.943,439.702,440.275,437.684,438.602
199,434.278,435.237,433.767,439.551,440.255,438.148,438.937
200,434.648,435.703,433.553,439.711,440.411,437.998,439.001
201,434.774,435.970,433.463,440.174,440.453,437.273,438.929
202,434.674,435.754,433.492,440.707,440.328,436.529,439.093
203,434.500,435.190,433.720,441.093,440.091,436.335,439.384
204,434.461,434.520,434.010,441.324,439.815,436.583,439.539
205,434.650,434.034,434.218,441.399,439.435,436.978,439.508
206,434.970,433.840,434.149,441.329,439.072,437.296,439.450
207,434.985,434.029,433.951,440.926,438.954,437.358,439.357
208,434.569,434.462,433.974,440.475,439.129,437.103,439.134
209,434.093,434.830,434.181,440.442,439.413,436.750,438.987
210,434.031,435.043,434.273,440.757,439.547,436.519,439.118
211,434.441,434.944,434.169,440.887,439.632,436.484,439.460
212,434.914,434.752,433.967,440.582,439.615,436.578,439.673
213,435.006,434.605,433.847,440.208,439.543,436.776,439.652
